Nyomtatvany,Kod,Adoazon,Adattípus,Max_hossz,Lap,Sor,Oszlop,Dinamikus,EAzon,Kihagyva,Megnevezes
2408M,23781,alkminnykod11_A033_M,N,11,2408M-11,0,0,T,23781,F,
2408M,23782,alkminnykod12_A033_M,N,11,2408M-12,0,0,T,23782,F,
2408M,23783,A027_A,S,15,2408M,0,0,F,23783,F,
2408M,23810,10lap_M018,N,11,2408M-10,0,0,T,23810,F,
2408M,23813,12lap_kitoltott_x_M021_M,N,11,2408M-12,0,0,T,23813,F,
2408M,23819,08lap_A245_A,N,11,2408M-08,0,0,T,23819,F,
2408M,23820,09lap_A245_A,N,11,2408M-09,0,0,T,23820,F,
2408M,23821,10lap_A245_A,N,11,2408M-10,0,0,T,23821,F,
2408M,23823,11lap_A245_A,N,11,2408M-11,0,0,T,23823,F,
2408M,23825,09lap_A221_A,N,13,2408M-09,0,0,T,23825,F,
2408M,23884,kivonatolt_adozo_adoszam,S,150,2408M,0,0,F,23884,F,
2408M,23885,kivonatolt_adoszam,S,150,2408M,0,0,F,23885,F,
2408M,23886,kivonatolt_tulaj_adoszam,S,150,2408M,0,0,F,23886,F,
2408M,23887,kivonatolt_csaladi_gazd,S,150,2408M,0,0,F,23887,F,
2408M,23888,kivonatolt_tajszam,S,150,2408M,0,0,F,23888,F,
2408M,23889,kivonatolt_tarsas_adoszam,S,150,2408M,0,0,F,23889,F,
2408M,23890,kivonatolt_adozo_adoszam_04,S,150,2408M-04,0,0,F,23890,F,
2408M,23891,kivonatolt_adozo_adoszam_07,S,150,2408M-07,0,0,F,23891,F,
2408M,23894,kivonatolt_adozo_adoszam_08,S,150,2408M-08,0,0,T,23894,F,
2408M,23895,kivonatolt_adozo_adoszam_09,S,150,2408M-09,0,0,T,23895,F,
2408M,23896,kivonatolt_adozo_adoszam_10,S,150,2408M-10,0,0,T,23896,F,
2408M,23898,kivonatolt_adozo_adoszam_11,S,150,2408M-11,0,0,T,23898,F,
2408M,23899,kivonatolt_adozo_adoszam_12,S,150,2408M-12,0,0,T,23899,F,
2408M,23900,alkminnykod_08_M060_1_M,N,20,2408M-08,0,0,T,23900,F,
2408M,23901,J700,N,11,2408M-12,700,10,T,23901,F,
2408M,23902,J701,N,11,2408M-12,701,10,T,23902,F,
2408M,23903,J702,N,11,2408M-12,702,10,T,23903,F,
2408M,23904,J703,N,11,2408M-12,703,10,T,23904,F,
2408M,23905,J704,N,11,2408M-12,704,10,T,23905,F,
2408M,23906,J705,N,11,2408M-12,705,10,T,23906,F,
2408M,23907,J706,N,11,2408M-12,706,10,T,23907,F,
2408M,23908,J707,N,11,2408M-12,707,10,T,23908,F,
2408M,23909,J708,N,11,2408M-12,708,10,T,23909,F,
2408M,23910,J709,N,11,2408M-12,709,10,T,23910,F,
2408M,23911,J710,N,11,2408M-12,710,10,T,23911,F,
2408M,23912,J711,N,11,2408M-12,711,10,T,23912,F,
2408M,23913,J712,N,11,2408M-12,712,10,T,23913,F,
2408M,23914,J713,N,11,2408M-12,713,10,T,23914,F,
2408M,23915,J714,N,11,2408M-12,714,10,T,23915,F,
2408M,23916,J715,N,11,2408M-12,715,10,T,23916,F,
2408M,23917,K715,N,11,2408M-12,715,11,T,23917,F,
2408M,23918,K714,N,11,2408M-12,714,11,T,23918,F,
2408M,23919,K713,N,11,2408M-12,713,11,T,23919,F,
2408M,23920,K712,N,11,2408M-12,712,11,T,23920,F,
2408M,23921,K711,N,11,2408M-12,711,11,T,23921,F,
2408M,23922,K710,N,11,2408M-12,710,11,T,23922,F,
2408M,23923,K709,N,11,2408M-12,709,11,T,23923,F,
2408M,23924,K708,N,11,2408M-12,708,11,T,23924,F,
2408M,23925,K707,N,11,2408M-12,707,11,T,23925,F,
2408M,23926,K706,N,11,2408M-12,706,11,T,23926,F,
2408M,23927,K705,N,11,2408M-12,705,11,T,23927,F,
2408M,23928,K704,N,11,2408M-12,704,11,T,23928,F,
2408M,23929,K703,N,11,2408M-12,703,11,T,23929,F,
2408M,23930,K702,N,11,2408M-12,702,11,T,23930,F,
2408M,23931,K701,N,11,2408M-12,701,11,T,23931,F,
2408M,23932,K700,N,11,2408M-12,700,11,T,23932,F,
2408M,23933,alkminnykod_08_M060_2_M,N,20,2408M-08,0,0,T,23933,F,
2408M,23934,alkminnykod_09_M060_2_M,N,20,2408M-09,0,0,T,23934,F,
2408M,23935,alkminnykod_09_M060_1_M,N,20,2408M-09,0,0,T,23935,F,
2408M,23936,alkminnykod_10_M060_2_M,N,20,2408M-10,0,0,T,23936,F,
2408M,23937,alkminnykod_10_M060_1_M,N,20,2408M-10,0,0,T,23937,F,
2408M,23940,alkminnykod_11_M060_2_M,N,20,2408M-11,0,0,T,23940,F,
2408M,23941,alkminnykod_11_M060_1_M,N,20,2408M-11,0,0,T,23941,F,
2408M,23950,09lap_M173_M,N,13,2408M-09,0,0,T,23950,F,
2408M,23955,08lap_M018,N,11,2408M-08,0,0,T,23955,F,
2408M,24003,kivonatolt_adoszam_04,S,150,2408M-04,0,0,F,24003,F,
2408M,24004,kivonatolt_adoszam_07,S,150,2408M-07,0,0,F,24004,F,
2408M,24007,kivonatolt_adoszam_08,S,150,2408M-08,0,0,T,24007,F,
2408M,24008,kivonatolt_adoszam_09,S,150,2408M-09,0,0,T,24008,F,
2408M,24009,kivonatolt_adoszam_10,S,150,2408M-10,0,0,T,24009,F,
2408M,24011,kivonatolt_adoszam_11,S,150,2408M-11,0,0,T,24011,F,
2408M,24012,kivonatolt_adoszam_12,S,150,2408M-12,0,0,T,24012,F,
2408M,24051,11lap_A220_A,N,11,2408M-11,0,0,T,24051,F,
2408M,24052,I700,N,11,2408M-12,700,9,T,24052,F,
2408M,24053,I701,N,11,2408M-12,701,9,T,24053,F,
2408M,24054,I702,N,11,2408M-12,702,9,T,24054,F,
2408M,24055,I703,N,11,2408M-12,703,9,T,24055,F,
2408M,24056,I704,N,11,2408M-12,704,9,T,24056,F,
2408M,24057,I705,N,11,2408M-12,705,9,T,24057,F,
2408M,24058,I706,N,11,2408M-12,706,9,T,24058,F,
2408M,24059,I707,N,11,2408M-12,707,9,T,24059,F,
2408M,24060,I708,N,11,2408M-12,708,9,T,24060,F,
2408M,24061,I709,N,11,2408M-12,709,9,T,24061,F,
2408M,24062,I710,N,11,2408M-12,710,9,T,24062,F,
2408M,24063,I711,N,11,2408M-12,711,9,T,24063,F,
2408M,24064,I712,N,11,2408M-12,712,9,T,24064,F,
2408M,24065,I713,N,11,2408M-12,713,9,T,24065,F,
2408M,24066,I714,N,11,2408M-12,714,9,T,24066,F,
2408M,24067,I715,N,11,2408M-12,715,9,T,24067,F,
2408M,24068,11lap_A248_A,N,11,2408M-11,0,0,T,24068,F,
2408M,24071,07lap_385_386_A045_A,N,11,2408M-07,0,0,F,24071,F,
2408M,24082,alkminkod08_62_A059_M,N,11,2408M-08,0,0,T,24082,F,
2408M,24083,alkminkod09_62_A059_M,N,11,2408M-09,0,0,T,24083,F,
2408M,24084,alkminkod10_62_A059_M,N,11,2408M-10,0,0,T,24084,F,
2408M,24086,alkminkod11_62_A059_M,N,11,2408M-11,0,0,T,24086,F,
2408M,24087,A059_A,N,15,2408M,0,0,F,24087,F,
2408M,24143,alkminkod0901_62_A059_M,N,11,2408M-09-01,0,0,T,24143,F,
2408M,24144,kivonatolt_adoszam_0901,S,150,2408M-09-01,0,0,T,24144,F,
2408M,24146,kivonatolt_adozo_adoszam_0901,S,150,2408M-09-01,0,0,T,24146,F,
2408M,24147,0901lap_A223_A,N,13,2408M-09-01,0,0,T,24147,F,
2408M,24148,0901lap_A222_A,N,13,2408M-09-01,0,0,T,24148,F,
2408M,24149,0901lap_A221_A,N,13,2408M-09-01,0,0,T,24149,F,
2408M,24150,0901lap_A245_A,N,11,2408M-09-01,0,0,T,24150,F,
2408M,24154,alkminnykod0901_A033_M,N,11,2408M-09-01,0,0,T,24154,F,
2408M,24155,kivonatolt_fejlec_nev_0901,S,150,2408M-09-01,0,0,T,24155,F,
2408M,24156,0901db,N,11,2408M-09-01,0,0,T,24156,F,
2408M,24164,alkminnykod_0901_M060_1_M,N,20,2408M-09-01,0,0,T,24164,F,
2408M,24165,alkminnykod_0901_M060_2_M,N,20,2408M-09-01,0,0,T,24165,F,
2408M,24166,kivonatolt_alkmin_kod_0901,S,150,2408M-09-01,0,0,T,24166,F,
2408M,24167,kivonatolt_biz_jogviszony_0901,S,150,2408M-09-01,0,0,T,24167,F,
2408M,24168,alkmin_0901_ossz,S,20,2408M-09-01,0,0,T,24168,F,
2408M,24206,kitoltott_16_sor_12_M910,N,11,2408M-12,0,0,T,24206,F,
2408M,24235,11lap_A256_A,N,11,2408M-11,0,0,T,24235,F,
2408M,24236,ketto_kod,S,15,2408M,0,0,F,24236,F,
2408M,24237,egy_kod,S,15,2408M,0,0,F,24237,F,
2408M,24239,magán_adósz_8_kar,S,15,2408M,0,0,F,24239,F,
2408M,24240,tulaj_tars_adoszam_8_kar,S,15,2408M,0,0,F,24240,F,
2408M,24243,kitöltött_Tbj_87,N,15,2408M,0,0,F,24243,F,
2408M,24244,kivonatolt_E_blokk,S,150,2408M,0,0,F,24244,F,
2408M,24245,672_690_figyelése_A069_hez,N,11,2408M-11,0,0,T,24245,F,
2408M,24248,A070_hez_B320_értéke,N,11,2408M-05,0,0,F,24248,F,
2408M,24465,06db,N,11,2408M-06,0,0,T,24465,F,
2408M,24467,A258_A,N,15,2408M,0,0,F,24467,F,
2408M,24468,alkminkod08_46_A258_M,N,11,2408M-08,0,0,T,24468,F,
2408M,24469,alkminkod09_46_A258_M175_M,N,11,2408M-09,0,0,T,24469,F,
2408M,24470,alkminkod0901_46_A258_M175_M,N,11,2408M-09-01,0,0,T,24470,F,
2408M,24471,alkminkod10_46_A258_M,N,11,2408M-10,0,0,T,24471,F,
2408M,24473,alkminkod11_46_A258_M,N,11,2408M-11,0,0,T,24473,F,
2408M,24474,alkminkod09_46_C579_A260_M,N,11,2408M-09,0,0,T,24474,F,
2408M,24475,alkminkod0901_46_C605_A260_M,N,11,2408M-09-01,0,0,T,24475,F,
2408M,24476,alkminkod09_46_567C_A261_M,N,11,2408M-09,0,0,T,24476,F,
2408M,24477,alkminkod09_46_C571_A262_M,N,11,2408M-09,0,0,T,24477,F,
2408M,24485,adóazon_eltartott_jogcim_350,S,12,2408M-06,350,0,T,24485,F,
2408M,24488,kitöltött350,N,11,2408M-06,350,0,T,24488,F,
2408M,24491,jogcím_c_d_M217,N,11,2408M-06,0,0,T,24491,F,
2408M,24492,kivonatolt_adozo_adoszam_06,S,150,2408M-06,0,0,T,24492,F,
